tconst,ordering,nconst,category,job,characters
tt0514068,2,nm1052894,actor,,"[""Frylock""]"
tt0514068,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski""]"
tt0514068,4,nm0188554,actor,,"[""Dr. Weird"",""Steve""]"
tt0514068,5,nm0537410,director,,
tt0514068,6,nm0250080,producer,producer,
tt0514068,7,nm0195997,composer,,
tt0514069,10,nm1743855,editor,,
tt0514069,1,nm1075468,actor,,"[""Master Shake""]"
tt0514069,2,nm1052894,actor,,"[""Frylock""]"
tt0514069,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski""]"
tt0514069,4,nm0581258,actor,,"[""Oglethorpe""]"
tt0514069,5,nm0537410,director,,
tt0514069,6,nm0250080,producer,producer,
tt0514069,7,nm0195997,composer,,
tt0514069,8,nm1557497,editor,,
tt0514069,9,nm0368579,editor,,
tt0514070,1,nm1075468,actor,,"[""Master Shake""]"
tt0514070,2,nm1052894,actor,,"[""Frylock""]"
tt0514070,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski"",""Ignignokt""]"
tt0514070,4,nm0537410,actor,,"[""Err"",""Deranged Homeless Man""]"
tt0514070,5,nm0250080,producer,producer,
tt0514070,6,nm0368579,producer,producer,
tt0514070,7,nm0195997,composer,,
tt0514070,8,nm1557497,editor,,
tt0514070,9,nm1743855,editor,,
tt0514071,10,nm1743855,editor,,
tt0514071,1,nm1075468,actor,,"[""Master Shake""]"
tt0514071,2,nm1052894,actor,,"[""Frylock""]"
tt0514071,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski"",""Ignignokt""]"
tt0514071,4,nm0581258,actor,,"[""Oglethorpe"",""Germ""]"
tt0514071,5,nm0537410,director,,
tt0514071,6,nm0250080,producer,producer,
tt0514071,7,nm0368579,producer,producer,
tt0514071,8,nm0195997,composer,,
tt0514071,9,nm1557497,editor,,
tt0514072,1,nm1075468,actor,,"[""Master Shake""]"
tt0514072,2,nm1052894,actor,,"[""Frylock""]"
tt0514072,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski""]"
tt0514072,4,nm0188554,actor,,"[""Dr. Weird"",""Steve""]"
tt0514072,5,nm0537410,director,,
tt0514072,6,nm0250080,producer,producer,
tt0514072,7,nm0195997,composer,,
tt0514073,1,nm1075468,actor,,"[""Master Shake""]"
tt0514073,2,nm1052894,actor,,"[""Frylock""]"
tt0514073,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski"",""Ignignokt""]"
tt0514073,4,nm0581258,actor,,"[""Oglethorpe""]"
tt0514073,5,nm0537410,director,,
tt0514073,6,nm0250080,producer,producer,
tt0514073,7,nm0368579,producer,producer,
tt0514073,8,nm0195997,composer,,
tt0514073,9,nm1557497,editor,,
tt0514074,1,nm1075468,actor,,"[""Master Shake""]"
tt0514074,2,nm1052894,actor,,"[""Frylock""]"
tt0514074,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski""]"
tt0514074,4,nm1088464,actor,,"[""The Mummy""]"
tt0514074,5,nm0537410,director,,
tt0514074,6,nm0250080,producer,producer,
tt0514074,7,nm0195997,composer,,
tt0514075,1,nm1075468,actor,,"[""Master Shake""]"
tt0514075,2,nm1052894,actor,,"[""Frylock""]"
tt0514075,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski""]"
tt0514075,4,nm0537410,actor,,"[""Satan""]"
tt0514075,5,nm0250080,producer,producer,
tt0514075,6,nm0195997,composer,,
tt0514075,7,nm0368579,editor,,
tt0514076,1,nm1075468,actor,,"[""Master Shake""]"
tt0514076,2,nm1052894,actor,,"[""Frylock""]"
tt0514076,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski""]"
tt0514076,4,nm0188554,actor,,"[""Dr. Weird"",""Steve""]"
tt0514076,5,nm0537410,director,,
