tconst,ordering,nconst,category,job,characters
tt0373732,9,nm2092525,actor,,"[""Thugnificent"",""Bathroom Attendant"",""Civil Rights Protester""]"
tt0397306,10,nm0278978,actor,,"[""Jeff Fischer"",""Jeff Fisher"",""Donnie""]"
tt0397306,1,nm0532235,actor,,"[""Stan Smith"",""Roger the Alien"",""Greg Corbin""]"
tt0397306,2,nm0769446,actress,,"[""Francine Smith"",""Francine Smith as Sexpun T'Come"",""Becky""]"
tt0397306,3,nm0048389,actor,,"[""Klaus"",""Monopoly Hobo"",""Pillow Hands McGraw""]"
tt0397306,4,nm0342241,actor,,"[""Steve Smith"",""Midget Assassin"",""Frat Guy""]"
tt0397306,5,nm0963341,writer,creator,
tt0397306,6,nm0963392,writer,creator,
tt0397306,7,nm1484134,actress,,"[""Hayley Smith"",""Barb Hanson"",""Hayley Smith as Ms. Peacenickel""]"
tt0397306,8,nm0035664,actor,,"[""Snot Lonstein"",""Eli Weisel"",""Snot""]"
tt0397306,9,nm0001772,actor,,"[""Avery Bullock"",""Avery Bullock as B"",""Patrick Stewart""]"
tt0402022,10,nm0329084,producer,producer,
tt0402022,1,nm0000234,actress,,"[""Aeon Flux""]"
tt0402022,2,nm0000531,actress,,"[""Handler""]"
tt0402022,3,nm0645683,actress,,"[""Sithandra""]"
tt0402022,4,nm0190744,actor,,"[""Trevor Goodchild""]"
tt0402022,5,nm0476201,director,,
tt0402022,6,nm0006534,writer,written by,
tt0402022,7,nm0542062,writer,written by,
tt0402022,8,nm0161285,writer,characters,
tt0402022,9,nm0301835,producer,producer,
tt0437745,10,nm0435695,actor,,"[""Bloopers Host"",""American Gladiator"",""Announcer""]"
tt0437745,1,nm0001293,actor,,"[""Various"",""The Nerd"",""Himself""]"
tt0437745,2,nm1803552,actor,,"[""Man"",""Himself"",""The Flash""]"
tt0437745,3,nm0005227,actor,,"[""Superman"",""Jesus Christ"",""Lindsay Lohan""]"
tt0437745,4,nm1802814,actor,,"[""Various"",""Beast Man"",""Alvin Seville""]"
tt0437745,5,nm1827639,writer,creator,
tt0437745,6,nm0586850,actor,,"[""Skeletor"",""Papa Smurf"",""Doctor""]"
tt0437745,7,nm0072344,actor,,"[""Optimus Prime"",""Darth Vader"",""Dominic Toretto""]"
tt0437745,8,nm0604541,actress,,"[""Mother"",""Various"",""Elle Driver""]"
tt0437745,9,nm0532235,actor,,"[""Lion-O"",""Santa Claus"",""Hermey the Elf""]"
tt0457146,10,nm0384931,actor,,"[""Reverend""]"
tt0457146,1,nm0254043,actor,,"[""Sheriff""]"
tt0457146,2,nm1902432,actor,,"[""Early Cuyler"",""Early"",""Earlie Cuyler""]"
tt0457146,3,nm1075468,actor,,"[""Granny""]"
tt0457146,4,nm2284315,actor,,"[""Rusty Cuyler"",""Russell 'Rusty' Cuyler"",""Russell 'Rusty' Kyler""]"
tt0457146,5,nm0287265,writer,creator,
tt0457146,6,nm0932302,writer,creator,
tt0457146,7,nm0537410,writer,creator,
tt0457146,8,nm9438281,actor,,"[""Sheriff"",""Sherrif""]"
tt0457146,9,nm1512920,actor,,"[""Dan Halen""]"
tt0839188,10,nm0000413,actress,,"[""Abigail Remeltindrinc""]"
tt0839188,1,nm0806430,actor,,"[""Nathan Explosion"",""Skwisgaar Skwigelf"",""Pickles""]"
tt0839188,2,nm0085116,actor,,"[""Toki Wartooth"",""William Murderface"",""Dr. Rockso""]"
tt0839188,3,nm0000434,actor,,"[""Senator Stampingston"",""Mr. Selatcia"",""News Anchor""]"
tt0839188,4,nm0105011,actor,,"[""General Crozier"",""Cardinal Ravenwood"",""General Krosier""]"
tt0839188,5,nm0000532,actor,,"[""Vater Orlaag"",""News Anchor"",""Alfred Belmer""]"
tt0839188,6,nm0628170,actress,,"[""News Anchor"",""Pickles' Mom"",""Woman""]"
tt0839188,7,nm2102798,actor,,"[""Metal Masked Assassin"",""Angry Customer"",""Football Player""]"
tt0839188,8,nm0001348,actor,,"[""Ishnifus Meaddle""]"
tt0839188,9,nm0004987,actor,,"[""Barkeep"",""Charles' Assistant Klokateer"",""Queen of Denmark""]"
tt1031283,10,nm3172860,actress,,"[""Charise"",""The Mistress"",""Bruce""]"
tt1031283,1,nm0906476,actor,,"[""The Warden""]"
tt1031283,2,nm2648485,actor,,"[""Jared""]"
tt1031283,3,nm0567129,actor,,"[""Nicky"",""Turban"",""Paul Gauye""]"
tt1031283,4,nm0994337,actor,,"[""Alice"",""Jacknife""]"
tt1031283,5,nm0344233,writer,creator,
tt1031283,6,nm1983762,writer,creator,
tt1031283,7,nm2655388,actor,,"[""The Twins""]"
tt1031283,8,nm1082823,actor,,"[""Lord Stingray""]"
tt1031283,9,nm1075468,actor,,"[""Prison PeeDee"",""Prison Peedee""]"
tt1486217,10,nm0168642,actor,,"[""Woodhouse"",""The Pope""]"
tt1486217,1,nm0071304,actor,,"[""Sterling Archer"",""Bob Belcher""]"
tt1486217,2,nm0339460,actress,,"[""Cheryl Tunt"",""Charlotte"",""Cherlene""]"
tt1486217,3,nm2436722,actress,,"[""Pam Poovey""]"
tt1486217,4,nm0663177,actor,,"[""Cyril Figgis"",""Fuchs"",""Cut-Rate Buck Henry""]"
tt1486217,5,nm0994488,writer,creator,
tt1486217,6,nm0878768,actress,,"[""Lana Kane"",""Princess Lanaluakalani""]"
tt1486217,7,nm0910055,actress,,"[""Malory Archer"",""Mallory Archer""]"
tt1486217,8,nm0946793,actor,,"[""Doctor Krieger"",""Crackers""]"
tt1486217,9,nm0932302,actor,,"[""Barry Dillon"",""Barry Dylan"",""'Dutch' Dylan""]"
tt1561755,10,nm0454306,actor,,"[""Mort"",""Mort's Mother"",""Customer #2""]"
tt1561755,1,nm0071304,actor,,"[""Bob Belcher"",""Jimmy Jr."",""Speedo Guy""]"
tt1561755,2,nm2089814,actor,,"[""Tina Belcher"",""Daniel Belcher"",""Dodomeki""]"
tt1561755,3,nm1483349,actor,,"[""Gene Belcher"",""Dean"",""Eugenia Chatter-Teeth""]"
tt1561755,4,nm4064518,actor,,"[""Linda Belcher"",""Jocelyn"",""Jocelyn's Mom""]"
tt1561755,5,nm0098908,writer,creator,
tt1561755,6,nm0202458,writer,creator,
tt1561755,7,nm1102891,actress,,"[""Louise Belcher"",""Alien Baby #2"",""Charlize""]"
tt1561755,8,nm1926427,actor,,"[""Teddy"",""Edith"",""Gretchen""]"
tt1561755,9,nm0379114,actor,,"[""Mr. Frond"",""Trev"",""Mr. Branca""]"
tt2861424,10,nm1807425,actor,,"[""Mr. Goldenfold"",""Black Mailman"",""Federation Personnel""]"
tt2861424,1,nm1551598,actor,,"[""Rick Sanchez"",""Morty Smith"",""Morty""]"
tt2861424,2,nm0663177,actor,,"[""Jerry Smith"",""Jerry"",""Agent""]"
tt2861424,3,nm0334561,actress,,"[""Summer Smith"",""Summer"",""Dream Summer""]"
tt2861424,4,nm0149950,actress,,"[""Beth Smith"",""Beth"",""Gazorpian""]"
tt2861424,5,nm1363595,writer,creator,
tt2861424,6,nm1312566,actress,,"[""Jessica"",""Rick's Computer"",""Additional Voices""]"
tt2861424,7,nm0444786,actor,,"[""Squanchy"",""Tour Guide"",""Additional Voices""]"
tt2861424,8,nm2466457,actor,,"[""Additional Voices"",""Alien #1"",""Alien Waiter""]"
tt2861424,9,nm0005606,actor,,"[""Abradolph Lincler"",""Additional Voices"",""Adult Morty Jr.""]"
tt2950342,10,nm5562946,actress,,"[""Blonde Boy"",""Blonde Girl"",""Chief of Staff""]"
tt2950342,1,nm4737765,actress,,"[""Tommy"",""Candy"",""Jane""]"
tt2950342,2,nm2757256,actor,,"[""Linda"",""Floyd"",""Deer Hunter #2""]"
tt2950342,3,nm2754614,actor,,"[""Sheriff"",""Boss"",""Deer Hunter #1""]"
tt2950342,4,nm0426678,actor,,"[""Mr. Goodman"",""Astronaut #2"",""Alen Butler""]"
tt2950342,5,nm0000222,actress,,"[""Mrs. Goodman""]"
tt2950342,6,nm0172806,actor,,"[""Grandpa"",""Mr. Bojenkins"",""Astronaut #1""]"
tt2950342,7,nm1186794,actor,,"[""Momma"",""Big Foot"",""Announcer""]"
tt2950342,8,nm0257890,actor,,"[""Space Captain"",""Doc Walton"",""Blogger""]"
tt2950342,9,nm0246373,actor,,"[""Mr. Bojenkins""]"
tt3398228,10,nm0652663,actor,,"[""Pinky Penguin"",""Pig Doctor"",""Airport PA""]"
tt3398228,1,nm0004715,actor,,"[""BoJack Horseman"",""Butterscotch Horseman"",""BoBo the Angsty Zebra""]"
tt3398228,2,nm0781238,actress,,"[""Princess Carolyn"",""Priscilla Crustacean"",""Tangled Fog of Pulsating Yearning""]"
tt3398228,3,nm1555340,actress,,"[""Diane Nguyen"",""Olivia"",""Vincent Adultman""]"
tt3398228,4,nm0666739,actor,,"[""Todd Chavez"",""Henry Fondle"",""Emperor Fingerface""]"
tt3398228,5,nm4369688,writer,creator,
tt3398228,6,nm0006670,actor,,"[""Mr. Peanutbutter"",""Sandro"",""Albino Rhino Gyno""]"
tt3398228,7,nm4033885,actor,,"[""A Ryan Seacrest Type"",""Blackmailer #1"",""Ethan""]"
tt3398228,8,nm0646021,actor,,"[""Tom Jumbo-Grumbo""]"
tt3398228,9,nm1102891,actress,,"[""Sarah Lynn"",""Sabrina"",""Harper""]"
tt6524350,10,nm0748973,actress,,"[""Hormone Monstress"",""Diane Birch"",""Bath Mat""]"
tt6524350,1,nm1802209,actor,,"[""Hormone Monster"",""Nick Birch"",""Coach Steve""]"
tt6524350,2,nm1825214,actor,,"[""Andrew Glouberman"",""Detective Florez"",""Detective""]"
tt6524350,3,nm0035488,actor,,"[""Elliot Birch"",""Bob the Hormone Monster"",""Bus Driver""]"
tt6524350,4,nm1585728,actress,,"[""Jessi Glaser""]"
tt6524350,5,nm0280814,writer,creator,
tt6524350,6,nm2810295,writer,creator,
tt6524350,7,nm0505662,writer,creator,
tt6524350,8,nm1727621,actor,,"[""Jay Bilzerian"",""Guy Bilzerian"",""Ghost of Socrates""]"
tt6524350,9,nm1443502,actor,,"[""Ghost of Duke Ellington"",""Cyrus"",""Atlanta Clause""]"
